canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
VD,Chavornay,5749,Route de Chavornay 7,1374,427.87,156400.00,30195.00,100964.00,13.495,85603.79,2452.50,2.865,83151.29
VD,Chavornay,5749,Le Caraillon 5,1374,218.35,23700.00,2779.00,16736.80,16.777,8231.71,1971.45,23.95,6260.26
VD,Chavornay,5749,Le Tilleul 5,1374,328.30,15500.00,1446.00,11243.20,22.50,4382.22,956.84,21.83,3425.38
VD,Chavornay,5749,Chemin de Miville 6,1374,421.05,48400.00,9180.00,31376.00,10.393,30263.01,2702.91,8.931,27560.10
VD,Chavornay,5749,Le Tilleul 1,1374,158.04,99200.00,19353.00,63877.60,10.000,61554.68,6856.48,11.139,54698.20
VD,Chavornay,5749,Le Caraillon 4,1374,418.32,21700.00,2454.00,15396.80,15.251,8327.21,1935.04,23.24,6392.18
VD,Chavornay,5749,Rue des Hirondelles 3,1374,461.74,17800.00,1813.00,12789.60,19.862,5689.69,1153.41,20.27,4536.28
VD,Chavornay,5749,En Baudette 7,1374,108.21,18200.00,1881.00,13055.20,20.42,5679.92,1144.31,20.15,4535.60
VD,Chavornay,5749,En Baudette 1b,1374,143.46,41000.00,7098.00,27121.60,11.405,23167.31,2534.74,10.941,20632.57
VD,Yverdon-les-Bains,5938,Rue Centrale 1,1432,79.50,31900.00,4497.00,21922.40,15.878,14129.54,1354.70,9.588,12774.85
VD,Yverdon-les-Bains,5938,Rue Centrale 11,1432,990.60,15200.00,1400.00,11040.00,21.64,4442.53,975.67,21.96,3466.85
VD,Yverdon-les-Bains,5938,Rue Centrale 1b,1432,35.74,14000.00,1197.00,10242.40,25.07,3901.47,660.61,16.932,3240.86
VD,Yverdon-les-Bains,5938,Chemin du Pré-du-Canal 1,1400,645.28,15100.00,1384.00,10972.80,21.83,4387.29,959.84,21.88,3427.46
VD,Yverdon-les-Bains,5938,Chemin du Pré-Français 1,1400,117.12,22800.00,2634.00,16132.80,16.023,8295.60,1966.23,23.70,6329.37
VD,Yverdon-les-Bains,5938,Rue d'Orbe 6,1400,564.96,15800.00,1490.00,11448.00,21.32,4790.37,966.45,20.17,3823.93
VD,Yverdon-les-Bains,5938,Rue du Lac 47,1400,0.00000,180700.00,36953.00,114997.60,10.563,122781.64,3181.21,2.591,119600.43
VD,Yverdon-les-Bains,5938,Rue du Collège 5,1400,1689.60,23000.00,2677.00,16258.40,16.303,8676.27,1730.54,19.946,6945.73
VD,Yverdon-les-Bains,5938,Rue du Lac 39,1400,1218.68,17200.00,1722.00,12382.40,19.671,5579.52,1113.57,19.958,4465.95
VD,Yverdon-les-Bains,5938,Rue du Collège 14,1400,2883.65,14800.00,1320.00,10784.00,21.96,4362.61,902.14,20.68,3460.46
VD,Epalinges,5584,Chemin du Pré-d'Yverdon 22,1066,312.87,51600.00,10091.00,33207.20,11.313,28749.74,3081.86,10.720,25667.88
VD,Epalinges,5584,Route de Montblesson 40,1066,84.23,15900.00,1512.00,11510.40,22.79,4426.76,975.19,22.03,3451.57
VD,Epalinges,5584,Route de Montblesson 34d,1066,183.86,31900.00,4497.00,21922.40,15.718,14287.01,1353.08,9.471,12933.93
VD,Epalinges,5584,Chemin du Pré-d'Yverdon 12,1066,101.67,63400.00,12567.00,40666.40,9.041,43663.56,4497.36,10.300,39166.20
VD,Epalinges,5584,Chemin du Pré-d'Yverdon 15,1066,124.05,49900.00,9598.00,32241.60,10.478,30330.46,3022.49,9.965,27307.97
