canton,municipality,bfs_code,address,plz,egid
ZH,Hinwil,117,Schaugenstrasse 5,8340,45205
ZH,Hinwil,117,Bodenacherstrasse 6,8340,44976
ZH,Hinwil,117,Schaugenstrasse 7,8340,44974
ZH,Hinwil,117,Girrietstrasse 1,8340,44931
ZH,Hinwil,117,Höhenstrasse 109,8340,44936
ZH,Hinwil,117,Girrietstrasse 5,8340,44932
ZH,Hinwil,117,Höhenstrasse 116,8340,44933
ZH,Steinmaur,101,Eggstrasse 25,8162,37151
ZH,Steinmaur,101,Eggstrasse 27,8162,210089281
ZH,Steinmaur,101,In der Breite 11,8162,37111
ZH,Steinmaur,101,Schopfstrasse 9,8162,37140
ZH,Steinmaur,101,In der Breite 9,8162,37109
ZH,Steinmaur,101,Schopfstrasse 13,8162,37141
ZH,Steinmaur,101,In der Breite 10,8162,37110
ZH,Steinmaur,101,In der Breite 1,8162,37101
ZH,Steinmaur,101,In der Breite 35,8162,37131
ZH,Steinmaur,101,In der Breite 2,8162,37102
ZH,Dänikon,85,Im Eichacher 3,8114,201023497
ZH,Dänikon,85,Im Eichacher 1,8114,201023498
ZH,Dänikon,85,Unterdorfstrasse 4,8114,30086
ZH,Dänikon,85,Oberdorfstrasse 13,8114,201007335
ZH,Dänikon,85,Mühlegasse 2,8114,29995
ZH,Dänikon,85,Mühlestrasse 8,8114,29988
ZH,Dänikon,85,Oberdorfstrasse 30,8114,30076
ZH,Dänikon,85,Oberdorfstrasse 38,8114,30080
ZH,Dänikon,85,Hauptstrasse 30,8114,29968
ZH,Dänikon,85,Mühlestrasse 1,8114,29992
ZH,Hüttikon,87,Halweg 13,8115,200296801
ZH,Hüttikon,87,Wiesenweg 7,8115,2269993
ZH,Hüttikon,87,Fohrenstrasse 4,8115,3168768
ZH,Hüttikon,87,Traubenweg 6,8115,30905
ZH,Hüttikon,87,Wiesenweg 4,8115,30914
ZH,Hüttikon,87,Wiesenweg 5,8115,30921
ZH,Hüttikon,87,Valbellastrasse 4,8115,30922
ZH,Hüttikon,87,Halweg 21,8115,3016580
